asset_id,portfolio,portfolio_type,asset_group,name,type,business_category,owner,municipality_anchor,price_area,lat,lon,annual_consumption_mwh,base_kw,peak_kw,flex_kw,profile,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
ENT-DEMO-0001,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #1,business_load,bakery,Entelios customer demo,Kristiansand,NO2,58.113789,7.987857,760.4,86.8,104.0,30.1,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0002,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #2,business_load,bakery,Entelios customer demo,Kristiansand,NO2,58.16523,7.946919,627.6,71.6,159.9,30.4,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0003,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #3,business_load,bakery,Entelios customer demo,Kristiansand,NO2,58.172257,7.93227,259.5,29.6,73.2,19.4,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0004,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #4,business_load,bakery,Entelios customer demo,Vennesla,NO2,58.195487,7.971245,581.1,66.3,112.3,21.5,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0005,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #5,business_load,bakery,Entelios customer demo,Vennesla,NO2,58.242835,8.022846,618.5,70.6,161.7,23.3,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0006,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #6,business_load,bakery,Entelios customer demo,Vennesla,NO2,58.287317,7.977015,705.6,80.5,63.1,13.6,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0007,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #7,business_load,bakery,Entelios customer demo,Vennesla,NO2,58.373887,7.984711,705.5,80.5,110.4,25.9,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0008,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #8,business_load,bakery,Entelios customer demo,Vennesla,NO2,58.43928,7.893942,606.5,69.2,169.8,46.7,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0009,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #9,business_load,bakery,Entelios customer demo,Evje,NO2,58.460153,7.904601,221.0,25.2,133.5,35.6,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0010,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #10,business_load,bakery,Entelios customer demo,Evje,NO2,58.533638,7.797038,338.7,38.7,178.6,24.0,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0011,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #11,business_load,bakery,Entelios customer demo,Evje,NO2,58.562746,7.835756,365.0,41.7,178.5,33.0,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0012,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #12,business_load,bakery,Entelios customer demo,Evje,NO2,58.640842,7.838317,288.7,33.0,60.4,14.3,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0013,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #13,business_load,bakery,Entelios customer demo,Evje,NO2,58.722237,7.76628,725.8,82.9,117.8,31.5,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0014,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #14,business_load,bakery,Entelios customer demo,Bygland,NO2,58.772814,7.782903,625.2,71.4,69.5,11.8,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0015,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #15,business_load,bakery,Entelios customer demo,Bygland,NO2,58.805794,7.838369,573.8,65.5,65.0,15.1,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0016,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #16,business_load,bakery,Entelios customer demo,Bygland,NO2,58.82779,7.845048,505.0,57.6,153.5,39.1,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0017,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #17,business_load,bakery,Entelios customer demo,Bygland,NO2,58.932274,7.841196,775.0,88.5,112.3,14.0,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0018,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #18,business_load,bakery,Entelios customer demo,Bygland,NO2,58.973495,7.941807,409.1,46.7,77.0,22.4,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0019,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #19,business_load,bakery,Entelios customer demo,Fyresdal,NO2,59.09231,8.033447,434.2,49.6,139.9,39.0,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0020,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #20,business_load,bakery,Entelios customer demo,Fyresdal,NO2,59.146266,8.066351,505.6,57.7,129.7,29.1,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0021,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #21,business_load,bakery,Entelios customer demo,Fyresdal,NO2,59.211162,8.161309,637.7,72.8,154.5,25.1,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0022,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #22,business_load,bakery,Entelios customer demo,Fyresdal,NO2,59.248757,8.198506,659.6,75.3,99.8,18.2,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
